                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6431,                 1.7543,                0.56205,                0.00137,                0.02407,                0.00129,                0.00101,                0.40075,                   4.58,                0.07732,             2.5615e-05,             2.5615e-05,             2.5615e-05
                      2,                0.76103,                 3.3208,                0.18436,                0.00067,                0.01969,                0.00101,                0.00072,                0.25823,                  4.005,                0.03994,             5.0774e-05,             5.0774e-05,             5.0774e-05
                      3,                 0.4512,                 3.0678,                0.07465,                0.00111,                0.06308,                0.00344,                0.00264,                0.20134,                 3.1757,                0.02936,             7.5425e-05,             7.5425e-05,             7.5425e-05
                      4,                0.34839,                 2.5167,                0.04461,                0.03142,                0.22716,                0.02501,                0.01987,                0.20211,                 2.6511,                0.02791,             7.4713e-05,             7.4713e-05,             7.4713e-05
                      5,                0.41771,                 1.7668,                0.05214,                0.23939,                0.21948,                0.15201,                0.12068,                0.27473,                 1.6513,                0.03658,             7.3951e-05,             7.3951e-05,             7.3951e-05
                      6,                0.43758,                 1.3819,                 0.0538,                0.32866,                0.31367,                0.28656,                0.22587,                0.28334,                 1.3682,                0.03939,             7.3188e-05,             7.3188e-05,             7.3188e-05
                      7,                0.43319,                 1.2211,                0.05268,                0.44553,                0.41384,                0.40568,                0.32101,                0.27735,                 1.2121,                0.03842,             7.2426e-05,             7.2426e-05,             7.2426e-05
                      8,                0.41752,                 1.1063,                0.05062,                0.56409,                0.51203,                0.51181,                0.40597,                0.27146,                 1.0605,                0.03776,             7.1664e-05,             7.1664e-05,             7.1664e-05
                      9,                0.42121,                 1.0046,                0.05055,                 0.6173,                0.57509,                0.58013,                0.45541,                0.27474,                0.92462,                0.03694,             7.0902e-05,             7.0902e-05,             7.0902e-05
                     10,                0.41202,                0.90598,                0.04894,                 0.6742,                 0.6541,                0.65911,                0.51821,                0.26902,                0.80739,                0.03604,             7.0139e-05,             7.0139e-05,             7.0139e-05
                     11,                0.39853,                0.83822,                0.04671,                0.73997,                0.72499,                0.73552,                0.57742,                0.26611,                0.72127,                0.03515,             6.9377e-05,             6.9377e-05,             6.9377e-05
                     12,                0.39622,                0.78216,                0.04568,                0.76781,                0.76095,                0.76863,                0.60603,                0.26295,                0.66035,                0.03536,             6.8615e-05,             6.8615e-05,             6.8615e-05
